"","user_name","user_location","user_description","user_created","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","source","is_retweet"
"28","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #tech #us 
Equinix Prioritizes AI Investments Amid Pandem...
https://t.co/eFenvHngDS","['CoronaInfoCH', 'COVID19', 'corona', 'tech', 'us']","FS Poster",FALSE
"29","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #australia 
Broken Hill...
https://t.co/eUt8rnq9CY","['CoronaInfoCH', 'COVID19', 'corona', 'australia']","FS Poster",FALSE
"30","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #canada 
'Vaccine nationalism' threatens access to t...
https://t.co/qBDBZEpOGZ","['CoronaInfoCH', 'COVID19', 'corona', 'canada']","FS Poster",FALSE
"31","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #canada 
Financial check...
https://t.co/qeubsFCYjI","['CoronaInfoCH', 'COVID19', 'corona', 'canada']","FS Poster",FALSE
"32","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #uk 
Did Sweden's coronavirus strategy succeed or fail?, BBC Ne...
https://t.co/WfiRsM369Q","['CoronaInfoCH', 'COVID19', 'corona', 'uk']","FS Poster",FALSE
"33","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #uk 
Coronavirus: Obesity increases risks from Cov...
https://t.co/gnbi7ggUQS","['CoronaInfoCH', 'COVID19', 'corona', 'uk']","FS Poster",FALSE
"34","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
'Epicenter of the ...
https://t.co/vzUPynspCI","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"35","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
US, Canada, UK accuse Russia of hacking COVI...
https://t.co/V18YHQCzUC","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"36","Strategic Intelligence","CH","Strategic insights and contextual intelligence from the World Economic Forum - https://t.co/yvumGDj7vz","2020-05-14 14:55:44",918,607,256,FALSE,2020-07-25,"Organizations must act quickly to mitigate the ","","",NA
"37","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
'Sink or...
https://t.co/DSofOEF6k5","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"38","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
Forced Labor at world's top surgical glove maker?, Dru...
https://t.co/X6T4YJbAEh","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"39","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #india 
Odisha’s COVID-19 t...
https://t.co/vURE2NzWE7","['CoronaInfoCH', 'COVID19', 'corona', 'india']","FS Poster",FALSE
"40","swissinfo.ch","CH","International Service of the Swiss Broadcasting Corporation.

📧 english@swissinfo.ch","2009-05-28 11:41:44",28506,321,2177,TRUE,2020-07-25,"Will the Alpine country be more open to ad-hoc employment following the ","","",NA
"41","EUA","CH","EUA, the European University Association, is the representative organisation of Europe's #universities with 850 members in 48 countries. #HigherEducation","2011-05-03 13:08:33",13318,1868,7179,TRUE,2020-07-25,"During the #covid19 pandemic, #universities did not close, they adapted! This EUA presentation provides an overview… https://t.co/doxjQNTpbd","['covid19', 'universities']","Sprout Social",FALSE
"42","Christian Lovis","CH","","2011-03-30 05:58:31",779,34,904,FALSE,2020-07-25,"Covid19 effect: Hygiene, hand-washing, social-distancing have crushed all human infectious diseases of the respirat… https://t.co/HIPMSIbskP","","Twitter Web App",FALSE
"43","World Economic Forum","CH","The international organization for public private cooperation. ","",NA,NA,NA,NA,NA,"","","",NA
"44","Tim Mak, PhD","CH","Global Alliance Manager @Redbiotecnews | ","",NA,NA,NA,NA,NA,"","","",NA
"45","Sudip Das","CH","Ph.D. Infection Biologist. @MSCActions Postdoc Fellow. Exploring the grey area: Commensal-Pathogens. Pro Homecook, fitness fanatic and a nerd. 🇮🇳 🇩🇪🇨🇭","2010-10-05 16:20:41",124,154,107,FALSE,2020-07-25,"Found the word.. a shoutout to all the people who were spamming my tweets a few days back ","","",NA
"46","Carlos Corberán","CH","Leader of the thunderstorm tracking service.","2020-07-23 22:25:42",7,6,18,FALSE,2020-07-25,"@DrBenWynn As long as #COVID19 is circulating, we are ALL at risk.

That’s why the team are asking everyone to trea… https://t.co/VBT476O7Vr","['COVID19']","Twitter for iPhone",FALSE
"47","Toyyib Ọládiméjì Abdulkareem","CH","Health Promotion and Policy ¦ Alum @commschols @wlv_uni MPH ¦ Medical Science ¦ Intern, @WHO HQ ¦ @TheWellbeingI ¦ Science, social justice, ☀, 🎨 & life","2017-06-04 11:36:37",1531,1387,14082,FALSE,2020-07-25,"We're surviving a pandemic. Not exactly the time to test-run policies that have financial implications and further… https://t.co/sFXFJr70kS","","Twitter for Android",FALSE
"48","Esther Pak","CH","Swiss-based Korean-American grad student @IHEID from Chi-Town. @JohnsHopkinsSPH alum. Jazz/comedy aficionado. Tweets about global health and life epiphanies.","2014-02-08 22:12:45",137,285,2493,FALSE,2020-07-25,"Our duty to the community must be balanced against the right of confidentiality. 

Best ethics case study/analysis… https://t.co/3OFXdMFzGC","","Twitter Web App",FALSE
"49","Mariano Mos","CH","Argentinean and swiss
I am about to become homeless the 1st of August because the swiss social services lied and after 2 months they want me on the streets","2011-12-26 19:25:38",7118,7486,5,FALSE,2020-07-25,"Switzerland also called Confederatio Helvetica, comes from the two dark evil egyptian goddeses Hella and Vatica, Va… https://t.co/utMx12h2ZX","","Twitter Web App",FALSE
"50","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #ireland 
US sets record for new Covid cases for third day in...
https://t.co/bOUdi262S3","['CoronaInfoCH', 'COVID19', 'corona', 'ireland']","FS Poster",FALSE
"51","Ben Wynn","CH","Health-General of thunderstorm tracking service.","2019-09-11 17:55:22",21,27,522,FALSE,2020-07-25,"As long as #COVID19 is circulating, we are all at risk. That’s why we’re asking everyone to treat the decisions abo… https://t.co/daKdcJcxMP","['COVID19']","Twitter for iPhone",FALSE
"52","Tedros Adhanom Ghebreyesus","CH","Director-General of the World Health Organization","2010-09-12 13:09:27",1242734,910,8743,TRUE,2020-07-25,"As long as #COVID19 is circulating, we are all at risk. That’s why we’re asking everyone to treat the decisions abo… https://t.co/ynEP98SIyW","['COVID19']","Twitter for iPhone",FALSE
"53","UNECE","CH","UNECE fosters sustainable development by translating the #GlobalGoals into norms and conventions that impact people’s lives every day. 
https://t.co/eyrwIKrEmp","2009-12-01 10:44:34",49390,1253,4269,FALSE,2020-07-25,"","","",NA
"54","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
More military bases increase he...
https://t.co/mRSZmpYFAD","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"55","Bruno Manser Fonds","CH","Bruno Manser Fonds - for the peoples of the rainforest","2011-02-01 13:33:24",2043,2266,262,FALSE,2020-07-25,"Humans cannot thrive without a thriving environment - learn from physician Kinari Webb: https://t.co/YmIzgoxC5c… https://t.co/XWV5n14KP1","","Buffer",FALSE
"56","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/yJWvDCjSgZ...
https://t.co/ijyMCPCQwv","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"57","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/8TNx9xVvt8...
https://t.co/uqMx7FAhou","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"58","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/lhH5gAUvPW...
https://t.co/ycgbJlBDge","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"59","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/v0G8Adx5ig...
https://t.co/VFG3dLHsAh","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"60","World Economic Forum","CH","The international organization for public private cooperation. ","",NA,NA,NA,NA,NA,"","","",NA
"61","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/nUZEv3Zsmq...
https://t.co/sMOOGUSZ7x","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"62","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/BkAzhKo5xg...
https://t.co/8nudLPMqk2","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"63","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona 
Shopping &amp; Special Offers
https://t.co/nQ6woQt3BE...
https://t.co/pePNRRQGMq","['CoronaInfoCH', 'COVID19', 'corona']","FS Poster",FALSE
"64","UN Geneva","CH","Official account of the United Nations Office at Geneva (UNOG)
En français: https://t.co/Ocg3M4d43o
https://t.co/QTFi68voix 
https://t.co/inf8Qc1HUH 
https://t.co/5ezfbQu3jY","2010-07-08 12:55:16",530112,1661,18840,TRUE,2020-07-25,"#COVID19: 40M children have missed out on early childhood education, millions under 5 are left without adult superv… https://t.co/QS11KR8Wyt","['COVID19']","TweetDeck",FALSE
"65","Gavi, the Vaccine Alliance","CH","Gavi, the Vaccine Alliance, helps vaccinate half the world’s children against deadly and debilitating diseases. #VaccinesWork","2009-12-16 14:32:10",122295,1323,5610,TRUE,2020-07-25,"What could happen if the ","","",NA
"66","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #canada 
Has enthusiasm for the CERB p...
https://t.co/vnB4HOJXJg","['CoronaInfoCH', 'COVID19', 'corona', 'canada']","FS Poster",FALSE
"67","Malayah Harper","CH","Fellow, Executive-in-Residence Geneva Centre for Security Policy @TheGCSP, Champion @Shedecidesgfi & @FairShare_WL 14th CEO World YWCA #SRHR #Youth #SDGs","2015-03-03 12:08:31",1803,1427,3334,FALSE,2020-07-25,"Opening Space: Can You Expand Civic Space During a Pandemic? ","","",NA
"68","World Economic Forum","CH","The international organization for public private cooperation. ","",NA,NA,NA,NA,NA,"","","",NA
"69","Cantillon Consulting","CH","Investment counsel, independent research & content provision, conferences, public speaking 
https://t.co/BdjUJTNm73
https://t.co/mvF0huQ7Ff","2017-05-18 08:52:44",1556,519,1014,FALSE,2020-07-25,"#DidierRaoult in full flow. 
“Give me the raw data. I don’t trust the way they ate manipulated. People making proje… https://t.co/rUXCQqY4oR","['DidierRaoult']","Twitter for iPad",FALSE
"70","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #ireland 
Varadkar questions trust in banks over interest waiv...
https://t.co/OLkHWFwEYY","['CoronaInfoCH', 'COVID19', 'corona', 'ireland']","FS Poster",FALSE
"71","World Economic Forum","CH","The international organization for public private cooperation. ","",NA,NA,NA,NA,NA,"","","",NA
"72","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
North Dakota to spend entire $1.2...
https://t.co/dTO2nU6XjI","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"73","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
White House, GOP at odds over jobless...
https://t.co/5PeBBVqzm9","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"74","Robert Marten","CH","#GlobalHealth, #HealthSystems, #PHC, #NCDs, #STAX, #PlanetaryHealth & the #SDGs. @LSHTM PhD. Former @RockefellerFdn @WHOSierraLeone @WHO India. @CFR_org Member.","2012-03-11 20:26:18",7866,999,36689,TRUE,2020-07-25,"","","",NA
"75","World Economic Forum","CH","The international organization for public private cooperation. ","",NA,NA,NA,NA,NA,"","","",NA
"76","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #business #worldnews 
Covid-19 SOPs...
https://t.co/vREAOdpipc","['CoronaInfoCH', 'COVID19', 'corona', 'business', 'worldnews']","FS Poster",FALSE
"77","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #tech #us 
US charges Chinese nationals with C...
https://t.co/usdLtCxb02","['CoronaInfoCH', 'COVID19', 'corona', 'tech', 'us']","FS Poster",FALSE
"78","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #australia 
Extra care an...
https://t.co/5LjfSrvkNu","['CoronaInfoCH', 'COVID19', 'corona', 'australia']","FS Poster",FALSE
"79","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #canada 
Creative Isolation: Zarqa Nawaz ...
https://t.co/vT6Dvp4PaW","['CoronaInfoCH', 'COVID19', 'corona', 'canada']","FS Poster",FALSE
"80","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
Cities Are Becoming Climate Death Traps, New Republic
https://c...
https://t.co/lufTVsVani","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"81","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
The Democrats’ Baff...
https://t.co/trBLwPB5dl","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"82","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
As COVID-19 cases climb in ...
https://t.co/wEmmFulL97","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"83","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
Cubs weekend night g...
https://t.co/aP0lk9QDWC","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"84","Arjan Hulsbos","CH","Senior Manager Forensics - eDiscovery
Cross-border disputes resolutions, FCPA, Whistleblowing, and Regulatory responses, including large scale managed reviews.","2009-03-24 13:12:23",55,209,97,FALSE,2020-07-25,"Please reach out to @jdfancher or Jack Walker to overcome your organizations challenges with submission and reimbur… https://t.co/q5OFj1JKaD","","LinkedIn",FALSE
"85","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
Scott Coker proud ...
https://t.co/gpVWfBQt78","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"86","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #us 
Smartphones and COVID-19: What we know so far, ABC News
https:...
https://t.co/6LKOHQR0Sq","['CoronaInfoCH', 'COVID19', 'corona', 'us']","FS Poster",FALSE
"87","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #entertainment #us 
Future Will Award...
https://t.co/Vnbm8zMcPj","['CoronaInfoCH', 'COVID19', 'corona', 'entertainment', 'us']","FS Poster",FALSE
"88","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #australia 
Western Australia leads nation as...
https://t.co/uP01rcjPmI","['CoronaInfoCH', 'COVID19', 'corona', 'australia']","FS Poster",FALSE
"89","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #india 
Covid-19: Two anti...
https://t.co/fd91v7NXgv","['CoronaInfoCH', 'COVID19', 'corona', 'india']","FS Poster",FALSE
"90","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",351,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #ireland 
Why was the Covid-19 app so successful in Irela...
https://t.co/QeHD8qew9x","['CoronaInfoCH', 'COVID19', 'corona', 'ireland']","FS Poster",FALSE
