"","user_name","user_location","date","text"
"30","Donna Clifford","UK",2020-07-25,"Ringway, Preston (14th May 2020 and 24th July 2020)
I will be releasing another video this weekend from the past co… https://t.co/X98cNByTW3"
"31","Suky Spook","UK",2020-07-25,"👀 A plea to "
"32","Phil Neilsen","UK",2020-07-25,"@funder Cannot imagine ANY "
"33","Athena Akrami","UK",2020-07-25,"Finally CDC is crawling up its way to acknowledge long term impacts of "
"34","Bella JS","UK",2020-07-25,"Don't concentrate on #COVID19
I've lost friends to #Suicide &amp; #Cancer so this is an important message. 
Check on th… https://t.co/iB0eX4hbVb"
"35","Charles Mapundu","UK",2020-07-25,"Checkout this video on Ruth's sacrifice
https://t.co/YKiKNkN0Yb #obesity #carryminati #my200vsbutch200… https://t.co/7fl8Eu33de"
"36","Nicole B Shaw","UK",2020-07-25,"@davemacladd So 2 Proroguing of Parliament; Closed Gov- Dec; Ignored "
"37","🌻R🏴󠁧󠁢󠁷󠁬󠁳󠁿","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/Uxm9EXuEkY"
"38","NormskiMacBorg","UK",2020-07-25,"If there is a second wave of "
"39","Chris Lavender🇬🇧 😷 YES or NO? Make a decision!","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/pj9bQqb0DQ"
"40","Abbie","UK",2020-07-25,"@WelshGovernment @SeneddWales @gwentpolice @NewportCouncil @NewportCityH 
Concerning the travellers in Newport; We,… https://t.co/brAq5HiBoo"
"41","Suky Spook","UK",2020-07-25,"@chatttylady @LBilderberg @MailOnline There’s been a "
"42","Salford City Council","UK",2020-07-25,"It’s important to keep washing your hands every time you return home to kill any virus you’ve picked up outside.… https://t.co/hFYd4XLByp"
"43","Angelo Giovino","UK",2020-07-25,"@rapella Christ, what an pathetic idiot that woman is. 

""Haha, i feel so good!""

Really?

Obviously, something ser… https://t.co/nopoSHGAmy"
"44","Diabetes.co.uk","UK",2020-07-25,"Strokes, brain inflammation, psychosis and dementia-like symptoms could be linked to #COVID19, researchers have sai… https://t.co/w5zpMNig9A"
"45","Dorset HealthCare","UK",2020-07-25,"Do you have any thoughts on how we can improve healthcare services in the county? Complete this short survey to hel… https://t.co/B1X3aZ3LEM"
"46","Dr Ai Lyn Tan","UK",2020-07-25,"Just in case you need reminding
➡️#Handwashing
➡️#WearAMask
➡️#Socialdistancing 
ALL pivotal to achieving control o… https://t.co/6BC0bKbAfJ"
"47","Judigal","UK",2020-07-25,"Coronavirus Divides 2020 Bellwether County in Wisconsin: 'There Is No Grace Anymore' ~ "
"48","Natalie Mitchell","UK",2020-07-25,"Our borough is offering anyone clinically vulnerable and overweight a free 12 week membership to a weight loss a sc… https://t.co/ajfTran5D2"
"49","Haybury","UK",2020-07-25,"AstraZeneca's eagerly awaited COVID-19 vaccine passes large test, but confirmation needed https://t.co/x9fXav2oI3… https://t.co/wqLXDhR9vu"
"50","International Medical Corps UK","UK",2020-07-25,"In #Somalia 🇸🇴, we've completed a #COVID19 isolation centre at the Galkacyo South Hospital. Our teams have also tra… https://t.co/CR6cf1hJJx"
"51","UnitedReformedChurch","UK",2020-07-25,"To support care workers, @brfonline has published a range of booklets, drawing on the expertise of Anna Chaplains t… https://t.co/UByKCH4k95"
"52","Gt Yarmouth Council","UK",2020-07-25,"The more we stick to the rules, the more the rate of infection will fall.⬇🎢

#StayAlert #ControlTheVirus #SaveLives… https://t.co/TZYgj5gPAX"
"53","Dr Nisreen Alwan 🌻","UK",2020-07-25,"You can be young and healthy and still get a long nasty illness with "
"54","The English Dept","UK",2020-07-25,"‘Who dis?’ 🙈 Second pair of "
"55","Belfast Telegraph","UK",2020-07-25,"NI schoolboy (10) crochets cuddly toys in lockdown #coronavirus #COVID19
https://t.co/HDbnYAReSc https://t.co/dErfVkga0u"
"56","People's History Museum","UK",2020-07-25,"Not long til #PHMHaveYourSay #livestream on YouTube, 2-3pm: https://t.co/wgTVUkdtsi Speak up or listen in to this m… https://t.co/SdCI5yZiPZ"
"57","PHE West Midlands","UK",2020-07-25,"While #Lockdown restrictions are easing #Coronavirus is still active.

We want #Muslims in the #WestMidlands to pro… https://t.co/4OrB5aAECx"
"58","Sugan D Palanee","UK",2020-07-25,"Is "
"59","@PHE_EoEngland","UK",2020-07-25,"While #Lockdown restrictions are easing #Coronavirus is still active.

We want #Muslims in the #EastOfEngland to pr… https://t.co/SlH7ABTJCy"
"60","PHE East Midlands","UK",2020-07-25,"While #Lockdown restrictions are easing #Coronavirus is still active.

We want #Muslims in the #EastMidlands to pro… https://t.co/sCtiw8Nuy8"
"61","Cheshire & Merseyside Health & Care Partnership","UK",2020-07-25,"To help you stay well during the #COVID19 pandemic and beyond, a new resource page has been added to… https://t.co/QW13HP4hFH"
"62","wayne","UK",2020-07-25,"Went for a run. Saw a #facemask blowing around in the street.

There's *SO* gonna be a 2nd Wave.

#covidiots… https://t.co/7d6ULttlI0"
"63","Financier Worldwide","UK",2020-07-25,"Bankruptcy and restructuring in Argentina. Read the thoughts of Fernando Hernandez from @marvalofarrell in… https://t.co/1xWz7VeOQq"
"64","Frank Brehany","UK",2020-07-25,""
"65","Life Didn't Begin At 40","UK",2020-07-25,"Dept of health have taken down their link to Covid data. Replacing it with other public information. 

They are ste… https://t.co/upcF8nZiuh"
"66","George Bray","UK",2020-07-25,"UK demand for new #vegan food products soars in lockdown! https://t.co/LE1I3xoTC5
#COVIDー19 #coronavirus #corona… https://t.co/cCz3RVDfbt"
"67","Dr Rob Whitehurst","UK",2020-07-25,"So surprise the Spanish Flu was not 100 times more deadly  than "
"68","Dr Rob Whitehurst","UK",2020-07-25,"So what can we conclude? The IFR of Spanish Flu depends on how many were infected; but if we assume an attack rate… https://t.co/dlmUzAS5YU"
"69","Dr Rob Whitehurst","UK",2020-07-25,"Ioannidis et al (2020) https://t.co/46vqbtenR2 make the claim that the IFR from Spanish Flu was ~100 times worse th… https://t.co/NRHw6q4nPB"
"70","Patient Safety Learning","UK",2020-07-25,"In our most recent "
"71","Timothy Utteridge","UK",2020-07-25,"'We don't have enough beds': PNG hospitals brace for Covid-19 surge "
"72","🎉 2020 is here! Rejoice 👌🏾😀","UK",2020-07-25,"When *TEST, track and trace* starts badly....

            #Coronavirus #Covid19 #bbcAQ https://t.co/GEBRwGZhbr"
"73","Andrew Morgan📐✏🔨📏 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺","UK",2020-07-25,"This makes very grim reading for the #UK economy, because of weight of #COVID19 on top of #Brexit the World may tre… https://t.co/03S1kVssVG"
"74","James","UK",2020-07-25,"I wore a face mask in Aldi this morning.

Nothing to do with covid, I was just massively embarrassed to be in there… https://t.co/8BMcpabipv"
"75","Sheree","UK",2020-07-25,""
"76","Patrick Lillis","UK",2020-07-25,"@MayorofLondon Why would you encourage people to go out, #COVID19 is not gone away,  next week you will be singing… https://t.co/GfVVcBunZb"
"77","Tony Roberts","UK",2020-07-25,"Access to online education reflects, reproduces and amplifies existing economic (dis)advantages. It provides benefi… https://t.co/gOFaMLpMiq"
"78","Drains-First","UK",2020-07-25,"@NPASNorthWest In the last 7 days fixed wing deployed to 13 police forces  @DyfedPowys @NWPolice @MerseyPolice… https://t.co/f8oKkvBoqk"
"79","Jacko","UK",2020-07-25,"@TUSSFC I was told trials, these consist of people getting #COVID19 treatment in those hospitals that are currently… https://t.co/k0GwjfnQTR"
"80","rocky","UK",2020-07-25,"@Liz_Wheeler @realDonaldTrump thats shows "
"81","D-19 LERT","UK",2020-07-25,"In order to recover economically from #COVID19 we must start to support British jobs.
So I'm banning @warburtons in… https://t.co/46OeWYMKwV"
"82","Fay Keenan","UK",2020-07-25,"Five and a half novels...one ten-year-old iMac desktop, and this year, remote teaching during #COVID19. #LoveMyMac… https://t.co/MX3G2iZ0VC"
"83","Communications Team","UK",2020-07-25,"With peak season now upon us, we’re doing all we can to encourage people to follow social distancing to help stop t… https://t.co/N5jaQ0OYnh"
"84","Charlie Smethurst","UK",2020-07-25,"This happened on BA409, Valencia to Heathrow - was planning another trip but will not be until BA take responsibili… https://t.co/1OcPsSPcmP"
"85","Grant Golub","UK",2020-07-25,"It has been surreal being stuck between two "
"86","Kath M O'Reilly","UK",2020-07-25,"Elimination of "
"87","John Preston","UK",2020-07-25,"When you "
"88","Charlie Smethurst","UK",2020-07-25,"I can confirm none of these passengers where exempt from wearing them either, as they popped them on as soon as we… https://t.co/UHBLXFzDyB"
"89","Fraser McMillan","UK",2020-07-25,"I haven't seen anyone discuss or highlight this at all, but it seems like a recipe for disaster. Would appreciate a… https://t.co/l7pjGNG93E"
"90","Small Wins","UK",2020-07-25,"Who needs Glastonbury when you can create a festival at home? 
Check out our latest video: https://t.co/EgCMqWSrrH… https://t.co/SbBjuYg3zo"
"91","H.O.B. Makanju","UK",2020-07-25,"Good day Beautiful People, this to wish you all a refreshing weekend. 

Remember to maintain social distancing, wea… https://t.co/Ha5y6Xk7Ik"
"92","Jonathan Martin","UK",2020-07-25,"@BBCNews There is a theme developing here. Johnson did not understand the virus, to begin with. Johnson appears to… https://t.co/Vnbr5CVHE4"
"93","Ian D. Richardson","UK",2020-07-25,"@RupaHuq Perhaps the UK #COVID19 death toll is what @BorisJohnson  means when he talks of us being ""world beating"". 🙄"
"94","Gary Lennon","UK",2020-07-25,"Seems that "
"95","Ace Daily News","UK",2020-07-25,"#CoronavirusNewsDesk – U.K. 12:42:GMT: Total number of lab-confirmed cases 297,914 who have had a positive test res… https://t.co/osGzI07nu0"
"96","Kath M O'Reilly","UK",2020-07-25,"@RowlandKao In @newscientist I had a nice discussion about "
"97","Garreth Wood","UK",2020-07-25,"Our work has never been so urgent....
#africa #COVID19 #globalsurgery
@KidsOperating @jaimedebourbon @NikhilSethUN… https://t.co/75HDONdBLH"
"98","John Preston","UK",2020-07-25,"If you want to understand how the government plans for disasters, and the role of class in who survives and who doe… https://t.co/phn6S3zBg2"
"99","mandy priest","UK",2020-07-25,"@TheHarveyCentre what’s the point in the mandatory mask when people are just allowed to break that law 🤷‍♀️😡… https://t.co/GxoFHzTtJb"
"100","Jay Wadkin 🇪🇺","UK",2020-07-25,"(apparently Dom Cummings hates this app. sees it as the enemy..🙄 if that's true then) ....

Help slow the spread of… https://t.co/nhqDPiSosJ"
"101","Jacko","UK",2020-07-25,"Today I'm donating my high antibody blood plasma in the hope that it helps other people in their fights against… https://t.co/7FtmTMacLN"
"102","Pink & Susan","UK",2020-07-25,"@RedIevel Hola Amego 😀😀; your tweet describes the PERFECT Mexican STAND OFF. Do we SLIM DOWN to size ZERO &amp; no ener… https://t.co/dlIFbcwtF3"
"103","Ananya W-B","UK",2020-07-25,"To really ""understand the virus"", one must attend meetings, read reports and listen to scientists. How did… https://t.co/kKiz6pMrmG"
"104","Ozo Innovations","UK",2020-07-25,"COVID 19 – Fighting viruses with eloclear

Read Living with the enemy Pt 1: returning to work in a post #COVID19 wo… https://t.co/6TRUv012kt"
"105","Grace *is so tired of everything* 🏳️‍🌈🏳️‍🌈🌍","UK",2020-07-25,"Anyone got any good resources/arguments as to why masks aren't bad for you, and are a good idea?
😷
#WearAMask #WearADamnMask 
#COVID19"
"106","Barry Cross","UK",2020-07-25,"Hold a public inquiry into the Government's handling of the Covid-19 pandemic 
#Covid19 - Sign the Petition!… https://t.co/YoRTjgw2Pf"
"107","Patrick Lillis","UK",2020-07-25,"@cnni This is Excatly what the scientists have been telling us from the beginning of "
"108","Spencer Dixon","UK",2020-07-25,"Updated thread by @DrZoeHyde
on children &amp; #COVID19

Summary: schools can only reopen safely if community transmiss… https://t.co/WrFgCXyf6e"
"109","Hugh James","UK",2020-07-25,"Avoiding or delaying seeking medical assistance during the "
"110","Front Line First Aid","UK",2020-07-25,"Our next bite-sized resource comes from Director Jacqueline Lynch as she answers the question ‘What is Trauma?’… https://t.co/dxG4W0xb5K"
"111","Belfast Telegraph","UK",2020-07-25,"Coronavirus updates: Holidaymakers’ plans hit by delays and travel restrictions "
"112","NSFT mental health","UK",2020-07-25,"If you're going out this weekend please remember to keep social distancing "
"113","Dr Mark D'Arcy","UK",2020-07-25,"Coronavirus-infected cells sprout filaments that may spread the virus #Science #COVID19

https://t.co/vJSsjrOpP6"
"114","Sally Biddulph","UK",2020-07-25,"Your latest @itvnews with me at 1310 - #PHE report shows link between #obesity and risk of dying from #Covid19, new… https://t.co/uWoHn0vZwI"
"115","Mrs Wilks:AAC Disco and Karaoke","UK",2020-07-25,"@Aacdiscokaraoke MrsWilks❤️ Hi all:I’m loving my Jason Donovan FaceMask that arrived in the post this… https://t.co/4ahQ1UKqws"
"116","THET","UK",2020-07-25,"JOB ALERT: We have a number of exciting job openings at THET! If you would like to join a team of dedicated… https://t.co/MRTyxGoiHb"
"117","Bob McAlay","UK",2020-07-25,"@jeremycorbyn Poor old @Keir_Starmer sorting out your messes!
#COVID19"
"118","George Sabapathy","UK",2020-07-25,"@davidschneider ""Of course there will be a time to look at this"" and before that time, more people die needlessly.… https://t.co/MR95JQY9D7"
"119","a simple guy, crypto, truth seeker.","UK",2020-07-25,"2) when I asked why they are wearing them? And how long will they wear them For? Answer - Until we are told not to.… https://t.co/46gAJXjL5i"
"120","Bag-e","UK",2020-07-25,"How to promote your "
"121","David Owen","UK",2020-07-25,". @UCI_cycling warns that "
"122","Adrian Farrell","UK",2020-07-25,"#COVID19 a view,#masks are useless,they have created a breed of super immune morons who don’t distance, don’t cover… https://t.co/wwR580a54a"
"123","OnMedica News","UK",2020-07-25,"The global pandemic is bringing health inequalities into sharp focus - @louisemarsha11 senior public health fellow… https://t.co/4YwiMOImay"
"124","Solihull Council","UK",2020-07-25,"If contacted by the NHS Test and Trace system, please do as instructed and self isolate.

This will help break the… https://t.co/psJL9yaevh"
"125","Dave Taskis","UK",2020-07-25,"UK Government preparations for a #COVID19 #SecondWave continue, as more premises given permission to re-open.… https://t.co/dgqCV4go0R"
"126","Katie Ellis Carrigg","UK",2020-07-25,"Good to back! Well done @DWFitnessFirst for getting your gyms up and running. The leisure sector smashing it today!… https://t.co/s8g17SbIbL"
"127","Sharon-S","UK",2020-07-25,"Hope there’s no spike. "
"128","Imtiaz J","UK",2020-07-25,"Incredible Twitter thread of 'Premier League managers as Simpsons characters' goes viral
#PremierLeague #COVID19… https://t.co/qm4eEkM2b1"
"129","Matt Martin","UK",2020-07-25,"@SpursOfficial’s stadium is being lined up to pilot a return of fans to grounds. With a capacity of 62k it’s believ… https://t.co/BtYmbd6VYI"
"130","Leesa Harwood","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/TaHNSql1iZ"
"131","Bilal","UK",2020-07-25,"Had great convo with Imperial Prof Justin Stebbing on "
"132","James Edwards","UK",2020-07-25,"Got my "
"133","BLGdataresearch","UK",2020-07-25,"A new opportunity to get involved in "
"134","Edward Anthony Rayne","UK",2020-07-25,"@charliebeeman Not so, all it said was that it could and should have done *better* with regard to shielding the eld… https://t.co/VJDnR0Ek0Q"
"135","Lily_McCann","UK",2020-07-25,"Amazing 3min video created by a Canadian teenager - such an accurate view of how a lot of us are feeling during the… https://t.co/37kMJUiJrt"
"136","kmtfacialsurgeon","UK",2020-07-25,"One of the best decisions of pandemic is mandatory face coverings/masks in closed public places. Well done… https://t.co/eKCa0GT6Ju"
"137","robert0461","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/NT4M4kRDpO"
"138","Pink & Susan","UK",2020-07-25,"@henrietta_22 @BorisJohnson Hi, he won't read anything unless it says 'OBESITY helped #COVID19 kill thousands in UK… https://t.co/KybzlvSYS8"
"139","Andrew Haglington","UK",2020-07-25,"#UK epidemiologist @PaulGarnerWoof, who is recovering from #COVID19 says #NHS #Doctors must stop mis-diagnosing rea… https://t.co/bFA8PkNDuJ"
"140","John Jackson","UK",2020-07-25,"More @BorisJohnson lies, more preventable deaths of UK citizens due to @Conservatives criminal negligence ...… https://t.co/i9QtNSnLjN"
"141","Ian gardiner","UK",2020-07-25,"Where the Isle of Wight leads Britain follows....

#IsleofWight #COVID19 #facecovering #COVID #WearAMask https://t.co/oY98N3ObQV"
"142","Business Services","UK",2020-07-25,"A new and unfamiliar territory, when it comes to running a business during the time of COVID-19, it can seem like a… https://t.co/qmWA9sAvuz"
"143","Nahia Vicente","UK",2020-07-25,"It's so sad how visa applicants who were affected by the pandemic, therefore having to delay their trips are being… https://t.co/ESRkijpavn"
"144","Ken Gordon","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/A201TPTGGF"
"145","ᒍOᕼᑎ ᑭᗩᑌᒪ","UK",2020-07-25,"Full price for train ticket because I have been unable to renew it due to "
"146","Institute of Development Studies","UK",2020-07-25,"Today and tomorrow! Covidarity Festival by IDS &amp; @SussexUni  students.

See schedule &amp; sign up for events &amp; worksho… https://t.co/ksyyEhxcXe"
"147","scarlet monahan","UK",2020-07-25,"Boris Johnson and Dominic Cummings "
"148","Melanie Jenner","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/fPXEbdKqBq"
"149","Northampton Chron","UK",2020-07-25,"BREAKING NEWS: More testers in town to battle #COVID19 spike #Northampton #NorthantsTogether 
https://t.co/9kVOKsBPjG"
"150","Jonathan King","UK",2020-07-25,"It's called "
"151","Salford City Council","UK",2020-07-25,"It’s important to get tested straight away if you have any symptoms of "
"152","Kids Inspire","UK",2020-07-25,"Research last month by Mind found that two-thirds of adults and three-quarters of 13 to 24-year-olds with a pre-exi… https://t.co/Vuy9SIjA1G"
"153","Daniels Healthcare 💙","UK",2020-07-25,"Read about one of our key alliances during this time of COVID-19 with a plastic injection moulding company,… https://t.co/QMJKVR8x4P"
"154","NHSNorthCumbriaCCG","UK",2020-07-25,"If you are contacted by contact tracers, either on the phone or by text message, it's important you follow the advi… https://t.co/8hK2SHiTG0"
"155","Tim Hubbard","UK",2020-07-25,"Discovering how many separated or quiet london "
"156","Stevie B","UK",2020-07-25,"If you've had covid symptoms then think about donating your blood plasma. I've done my 'little bit' cos that could… https://t.co/pc27XKQtSq"
"157","Pink & Susan","UK",2020-07-25,"@Wiblicks Hello World; "
"158","Iran International English","UK",2020-07-25,"The spokesperson for #Iran's Ministry of Health: Since yesterday, 2316 new confirmed cases of #COVID19 have been id… https://t.co/ongpxhSvvD"
"159","International Rescue Committee - UK","UK",2020-07-25,"Crises of any kind impact women and girls differently because of gender inequality. 

The @guardian spoke to women… https://t.co/Q9SBfMUm3z"
"160","Frank Liam Teller (open channel)","UK",2020-07-25,"CoViD-19 update (for the last 55 days - not even 2 months)

#COVID19 #CoronaVirusUpdates #Earth vs #UnitedStates… https://t.co/7QPcjZVQN1"
"161","Susan Moffat","UK",2020-07-25,"Nice! See masks can be fun and stylish!

Why are people being so fussy? Just wear a mask and save a life!… https://t.co/7N3GH8GSRs"
"162","Darren A. Furniss","UK",2020-07-25,"Capitalism does not put people and planet first, it puts profit/money first. This #COVID19 pandemic should be a tur… https://t.co/d9aAJMi0KP"
"163","Unraveledthoughts","UK",2020-07-25,"I wonder who these shots will be compulsory for. Scare times ahead for our friends in the UK. "
"164","Emerging Minds Network","UK",2020-07-25,"Thanks very much to @newscientist @NewScientistPod for highlighting the impact of "
"165","Alan Webb","UK",2020-07-25,"Themes coming from the impact of #COVID19 &amp; lockdown from children, young people &amp; adults. Worries about the future… https://t.co/W3pAgAiWXv"
"166","Scottish YES TORIES","UK",2020-07-25,"@Douglas4Moray If Scotland had followed the mixed messages from Boris and the Cabinet then the "
"167","AdvisingFamilies","UK",2020-07-25,"The UK government has moved to enable people in England and Wales to video-witness the execution of their wills if… https://t.co/QekBHKa83J"
"168","Jonathan King","UK",2020-07-25,""
"169","Scott McManus","UK",2020-07-25,"Me, buying alcohol.

Cashier stares above my mask into my eyes, ""Not much soul left there""

Hits visual confirmatio… https://t.co/V5UYXl3o5c"
"170","TelecomTV","UK",2020-07-25,"Geopolitical factors are impacting the evolution of the telecoms industry - Watch the session replay to find out wh… https://t.co/TFgKOxEt91"
"171","ITIJ","UK",2020-07-25,"Insurers @_Blue_Insurance, @AllianzAssistUK, airline @emirates and @caser have all decided to offer cover for… https://t.co/axkI4RRVqJ"
"172","Value for Women","UK",2020-07-25,"Many SMEs "
"173","Dr. Shahzad Faisal Chaudhary","UK",2020-07-25,"Has "
"174","Dr Ijlal Haider","UK",2020-07-25,"Lovely to venture out into the garden, since being discharged from hospital. Managed to do bit of gardening, tidyin… https://t.co/m2Aj7uPnYh"
"175","Elisabeth Mahase","UK",2020-07-25,"Expanding the flu programme this winter is sensible says the @rcgp.

But GPs have raised concerns over the added wo… https://t.co/ArkfRXLUFa"
"176","Advance2020","UK",2020-07-25,"Be aware if you live, or travel to or from these regions. And maybe help others by downloading their App today, and… https://t.co/cjVQU6vvOh"
"177","Sky Blue","UK",2020-07-25,"@karen_jones22 We could have avoided the economy taking such a hit if we'd got on top of "
"178","International Medical Corps UK","UK",2020-07-25,"Wash your hands, practice physical distancing… Get the full list of tips you need to help prevent infection of… https://t.co/6cFxuo9tvv"
"179","Kev fearnehough","UK",2020-07-25,""
"180","TheParentaGroup","UK",2020-07-25,"We know how important touch is in contributing to positive mental health and wellbeing. 

Find out how to show the… https://t.co/l97wseLwxo"
"181","Duncan & Toplis","UK",2020-07-25,"From 10 September, @CompaniesHouse will restart the process for companies that have applied for voluntary strike of… https://t.co/cOmhbKeruL"
"182","sophielaetitia","UK",2020-07-25,"The Good Things From This Difficult Time... https://t.co/aeDljPsFpo | "
"183","Royds Withy King","UK",2020-07-25,"Those who have been shielding can return to work from 1 August. Here's what employers need to know before then. 👇… https://t.co/IgRL7XYxiW"
"184","Centre for Cities","UK",2020-07-25,"See where #COVID19 cases are picking up in cities and large towns across England 📈

https://t.co/mjJQTGHGDf"
"185","Making Music UK","UK",2020-07-25,"Choir members &amp; facilitators: fill in a 10min survey about choir participation (pre &amp; post Covid-19)  @UniOfYork an… https://t.co/py7ZcG9EPx"
"186","WoolfHodson","UK",2020-07-25,"How 3 #CMOs grapple with #marketingbudget changes due to #COVID19 via @cmswire 

https://t.co/1aelkhdocd https://t.co/DfkSjS6XVn"
"187","Steps To Save The World 👣🌍","UK",2020-07-25,""
"188","Executive Grapevine","UK",2020-07-25,"#Leadership crisis | Do you need a 'survival plan' for your career?

#strategy #covid19 https://t.co/kAGQKYqFBu"
"189","PCB Care Stoke","UK",2020-07-25,"Thinking about changing your job but want something that'll fit around your commitments? PCB Care will find a role… https://t.co/vGMFdvinr3"
"190","PCB Wolves","UK",2020-07-25,"Thinking about changing your job but want something that'll fit around your commitments? PCB Care will find a role… https://t.co/749tCdw9rL"
"191","Cheshire & Merseyside Health & Care Partnership","UK",2020-07-25,"As Dr Barnett says, during #COVID19 you should still seek advice if you spot the signs of #diabetes (Toilet, Thirst… https://t.co/RyotvIPELc"
"192","Public Health Agency","UK",2020-07-25,""
"193","Sugan D Palanee","UK",2020-07-25,"""The current COVID-19 shock has put immense pressure on technology capabilities (e.g., remote working, cyber threat… https://t.co/st9qbB6qG3"
